Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N_P1_Test1	Ext_Rot_N_P1_Test2	Ext_Rot_N_P1_Test3	Ext_Rot_N_P2_Test1	Ext_Rot_N_P2_Test2	Ext_Rot_N_P2_Test3	Int_Rot_N_P1_Test1	Int_Rot_N_P1_Test2	Int_Rot_N_P1_Test3	Int_Rot_N_P2_Test1	Int_Rot_N_P2_Test2	Int_Rot_N_P2_Test3
RNV5	f	HOLJ	m	DM6E	f	nan	nan	nan	151,7	146,8	151,2	nan	nan	nan	242,0	251,8	230,0
SBJ4	f	MC2X	m	XBJV	f	162,8	146,8	164,5	nan	nan	nan	173,9	175,7	180,2	nan	nan	nan
SBL6	f	7IJJ	f	2AI2	m	96,5	125,0	115,6	nan	nan	nan	154,6	179,3	130,3	nan	nan	nan
SBL6	f	7IJJ	f	C9OV	m	nan	nan	nan	101,4	115,2	100,5	nan	nan	nan	136,5	129,0	118,3
STFF	f	ET9A	f	SYLZ	f	98,3	99,2	91,6	nan	nan	nan	112,5	119,6	105,0	nan	nan	nan
STFF	f	SYLZ	f	ET9A	f	nan	nan	nan	102,7	110,7	99,6	nan	nan	nan	128,5	109,4	128,1
SYLZ	f	ET9A	f	STFF	f	nan	nan	nan	104,5	107,6	100,9	nan	nan	nan	133,4	128,1	124,5
SYLZ	f	STFF	f	ET9A	f	103,6	97,8	100,9	nan	nan	nan	117,9	134,8	130,8	nan	nan	nan
U24Z	f	C0YZ	m	7847	f	nan	nan	nan	134,3	163,7	133,9	nan	nan	nan	170,5	236,6	182,4
U24Z	f	GONF	f	C0YZ	m	82,7	84,5	82,3	nan	nan	nan	139,7	107,6	132,1	nan	nan	nan
UQO6	f	96H6	f	Q1CO	f	nan	nan	nan	101,8	96,1	97,4	nan	nan	nan	140,5	127,6	127,2
UQO6	f	Q1CO	f	96H6	f	125,4	115,6	109,8	nan	nan	nan	152,0	152,6	144,1	nan	nan	nan
URX1	f	54W1	m	MXT3	m	nan	nan	nan	209,5	173,0	158,3	nan	nan	nan	200,2	159,2	239,8
URX1	f	MXT3	m	8YYM	f	153,0	148,6	153,0	nan	nan	nan	200,6	230,0	229,1	nan	nan	nan
UY8N	m	03Q1	m	XKHX	f	143,7	152,6	162,8	nan	nan	nan	140,5	158,8	166,4	nan	nan	nan
UY8N	m	XKHX	f	03Q1	m	nan	nan	nan	118,7	96,9	100,1	nan	nan	nan	149,9	145,4	133,0
VOFU	m	2ABW	f	FV50	m	97,4	102,3	96,1	nan	nan	nan	118,7	121,4	121,9	nan	nan	nan
VOFU	m	FV50	m	2ABW	f	nan	nan	nan	146,3	149,9	214,8	nan	nan	nan	203,3	218,4	250,0
W7B5	f	PIGD	m	QDH7	m	135,7	145,4	167,2	nan	nan	nan	162,3	161,0	214,8	nan	nan	nan
W7B5	f	QDH7	m	2BW9	f	nan	nan	nan	224,2	210,0	221,1	nan	nan	nan	244,2	297,2	331,0
WYMH	f	DQDJ	m	8LNG	m	166,4	188,7	204,5	nan	nan	nan	206,4	226,0	200,4	nan	nan	nan
XBJV	f	KIU5	f	SBJ4	f	154,8	120,1	126,3	nan	nan	nan	177,9	207,3	147,0	nan	nan	nan
XKHX	f	03Q1	m	UY8N	m	nan	nan	nan	141,0	148,6	162,3	nan	nan	nan	172,1	164,1	161,9
XKHX	f	UY8N	m	03Q1	m	225,5	211,7	220,6	nan	nan	nan	286,9	317,2	304,7	nan	nan	nan
XO3D	m	9OIM	f	E8FP	m	89,4	91,2	105,8	nan	nan	nan	107,2	139,2	112,5	nan	nan	nan
XO3D	m	E8FP	m	9OIM	f	nan	nan	nan	164,6	157,5	155,4	nan	nan	nan	194,4	188,6	180,0
YX6H	f	HURM	m	I22H	f	176,0	189,0	199,0	nan	nan	nan	218,0	271,0	197,0	nan	nan	nan
YX6H	f	I22H	f	HURM	m	nan	nan	nan	107,0	107,0	110,0	nan	nan	nan	129,0	133,0	131,0
ZQBM	m	FDHE	m	9MJ0	f	151,2	164,1	157,0	nan	nan	nan	154,8	169,9	161,5	nan	nan	nan
ZQBM	m	FDHE	m	J8KP	f	nan	nan	nan	149,0	153,0	154,3	nan	nan	nan	171,2	162,3	171,7
