Pairing	Group	Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N_Test1	Ext_Rot_N_Test2	Ext_Rot_N_Test3	Int_Rot_N_Test1	Int_Rot_N_Test2	Int_Rot_N_Test3
Pairing 2	V7	U24Z	f	C0YZ	m	7847	f	134,3	163,7	133,9	170,5	236,6	182,4
Pairing 2	V7	URX1	f	54W1	m	MXT3	m	209,5	173,0	158,3	200,2	159,2	239,8
Pairing 2	Y7	2AI2	m	SBL6	f	7IJJ	f	121,9	121,0	106,7	141,0	142,3	132,1
Pairing 2	Y7	2TT1	f	EQY3	f	7J9M	f	113,0	100,0	108,0	162,0	183,0	177,0
Pairing 2	Y7	6QVB	f	L07I	f	PBAN	f	76,5	98,7	102,3	99,6	129,4	113,0
Pairing 2	Y7	7IJJ	f	C9OV	m	2AI2	m	155,7	170,4	184,6	256,2	220,1	254,0
Pairing 2	Y7	7J9M	f	FW51	m	2TT1	f	176,0	153,0	168,0	209,0	206,0	223,0
Pairing 2	Y7	C9OV	m	2AI2	m	SBL6	f	139,2	131,6	174,4	211,3	201,9	215,3
Pairing 2	Y7	EQY3	f	7J9M	f	FW51	m	99,0	86,0	100,0	127,0	133,0	117,0
Pairing 2	Y7	FW51	m	2TT1	f	EQY3	f	90,0	103,0	97,0	138,0	137,0	140,0
Pairing 2	Y7	G5QJ	f	6QVB	f	L07I	f	124,1	116,5	98,7	128,9	112,5	112,1
Pairing 2	Y7	HURM	m	YX6H	f	I22H	f	66,0	67,0	74,0	107,0	110,0	113,0
Pairing 2	Y7	I22H	f	HURM	m	YX6H	f	204,0	208,0	237,0	264,0	257,0	249,0
Pairing 2	Y7	L07I	f	PBAN	f	G5QJ	f	113,4	105,8	111,2	120,1	116,1	112,1
Pairing 2	Y7	PBAN	f	G5QJ	f	6QVB	f	105,8	103,6	115,6	129,9	124,1	133,8
Pairing 2	Y7	SBL6	f	7IJJ	f	C9OV	m	101,4	115,2	100,5	136,5	129,0	118,3
Pairing 2	Y7	YX6H	f	I22H	f	HURM	m	107,0	107,0	110,0	129,0	133,0	131,0
